Strain,CommunityCombo,priority_effect_strength_median,null_f,null_s,num_samples_first,num_samples_second,spec_name
ESL0198,5,nan,nan,nan,9,9,Bifidobacterium polysaccharolyticum
ESL0198,6,inf,0.01433360562739508,nan,9,10,Bifidobacterium polysaccharolyticum
ESL0827,1,inf,0.031120747618626682,nan,10,10,Bifidobacterium sp1.
ESL0827,2,nan,nan,nan,9,10,Bifidobacterium sp1.
ESL0827,3,nan,nan,nan,8,10,Bifidobacterium sp1.
ESL0827,4,nan,nan,nan,10,10,Bifidobacterium sp1.
ESL0827,5,inf,0.02417009317204296,nan,9,9,Bifidobacterium sp1.
ESL0827,6,inf,0.02074626389773339,nan,9,10,Bifidobacterium sp1.
ESL0199,1,nan,nan,nan,10,10,Bifidobacterium sp1.
ESL0199,2,1.255111682477269,-0.013801687951688188,nan,10,9,Bifidobacterium sp1.
ESL0199,3,inf,-0.013561048172306415,nan,10,8,Bifidobacterium sp1.
ESL0199,4,inf,0.006154484639388676,nan,10,10,Bifidobacterium sp1.
ESL0199,5,nan,nan,nan,9,9,Bifidobacterium sp1.
ESL0199,6,nan,nan,nan,10,9,Bifidobacterium sp1.
ESL0200,1,nan,nan,nan,10,10,Bifidobacterium sp2.
ESL0200,2,nan,nan,nan,9,10,Bifidobacterium sp2.
ESL0200,3,inf,0.056775596997255574,nan,10,8,Bifidobacterium sp2.
ESL0200,4,nan,nan,nan,10,10,Bifidobacterium sp2.
ESL0200,5,nan,nan,nan,9,9,Bifidobacterium sp2.
ESL0200,6,nan,nan,nan,9,10,Bifidobacterium sp2.
ESL0819,1,nan,nan,nan,10,10,Bifidobacterium sp2.
ESL0819,2,nan,nan,nan,10,9,Bifidobacterium sp2.
ESL0819,3,nan,nan,nan,8,10,Bifidobacterium sp2.
ESL0819,4,nan,nan,nan,10,10,Bifidobacterium sp2.
ESL0819,5,nan,nan,nan,9,9,Bifidobacterium sp2.
ESL0819,6,nan,nan,nan,10,9,Bifidobacterium sp2.
ESL0394,1,0.8721000684750382,-0.02645532395024103,0.008957074297243794,10,10,Lactobacillus melliventris
ESL0394,2,1.2552868966865074,0.0028856080937052155,nan,9,10,Lactobacillus melliventris
ESL0394,3,nan,nan,nan,8,10,Lactobacillus melliventris
ESL0394,4,2.871239796017554,0.010466483710047011,nan,10,10,Lactobacillus melliventris
ESL0394,5,1.8117798623703023,0.005133222699525029,nan,9,9,Lactobacillus melliventris
ESL0394,6,2.1266123684701004,0.03686267021620703,nan,9,10,Lactobacillus melliventris
ESL0295,1,nan,nan,nan,10,10,Bombilactobacillus mellis
ESL0295,2,nan,nan,nan,10,9,Bombilactobacillus mellis
ESL0295,3,nan,nan,nan,10,8,Bombilactobacillus mellis
ESL0295,4,nan,nan,nan,10,10,Bombilactobacillus mellis
ESL0295,5,nan,nan,nan,9,9,Bombilactobacillus mellis
ESL0295,6,nan,nan,nan,10,9,Bombilactobacillus mellis
ESL0263,1,0.2978772787224573,0.033585391955461646,0.005583886535558022,10,10,Lactobacillus apis
ESL0263,2,-0.05625603704441412,0.0060170110009849275,0.011493336062942585,9,10,Lactobacillus apis
ESL0263,3,0.7525792908627,0.004726390380245862,nan,10,8,Lactobacillus apis
ESL0263,4,0.04426848216343833,-0.010817421391270005,nan,10,10,Lactobacillus apis
ESL0263,5,nan,nan,nan,9,9,Lactobacillus apis
ESL0263,6,0.9396857892924918,-0.023731920031007533,nan,9,10,Lactobacillus apis
ESL0185,1,4.356442612329916,0.02313052116041627,nan,10,10,Lactobacillus apis
ESL0185,2,inf,-0.007438458330415949,nan,10,9,Lactobacillus apis
ESL0185,3,nan,nan,nan,8,10,Lactobacillus apis
ESL0185,4,inf,0.015767664988439865,nan,10,10,Lactobacillus apis
ESL0185,5,inf,-0.005689367714954728,nan,9,9,Lactobacillus apis
ESL0185,6,nan,nan,nan,10,9,Lactobacillus apis
ESL0183,1,inf,0.033498642785283195,nan,10,10,Lactobacillus helsingborgensis
ESL0183,2,inf,0.02334359920870298,nan,10,9,Lactobacillus helsingborgensis
ESL0183,3,nan,nan,nan,8,10,Lactobacillus helsingborgensis
ESL0183,4,inf,-0.042673700951754615,nan,10,10,Lactobacillus helsingborgensis
ESL0183,5,inf,-0.017174985291577127,nan,9,9,Lactobacillus helsingborgensis
ESL0183,6,inf,0.0037637828277500385,nan,9,10,Lactobacillus helsingborgensis
ESL0835,1,inf,-0.020483637363961492,nan,10,10,Lactobacillus helsingborgensis
ESL0835,2,inf,0.014527494996668246,nan,9,10,Lactobacillus helsingborgensis
ESL0835,3,inf,-0.013708202450752879,nan,10,8,Lactobacillus helsingborgensis
ESL0835,4,inf,-0.0029311386513899405,nan,10,10,Lactobacillus helsingborgensis
ESL0835,5,nan,nan,nan,9,9,Lactobacillus helsingborgensis
ESL0835,6,nan,nan,nan,10,9,Lactobacillus helsingborgensis
ESL0184,1,nan,nan,nan,10,10,Lactobacillus melliventris
ESL0184,2,nan,nan,nan,10,9,Lactobacillus melliventris
ESL0184,3,nan,nan,nan,10,8,Lactobacillus melliventris
ESL0184,4,inf,-0.045523787781036516,nan,10,10,Lactobacillus melliventris
ESL0184,5,nan,nan,nan,9,9,Lactobacillus melliventris
ESL0184,6,nan,nan,nan,10,9,Lactobacillus melliventris
ESL0350,1,1.2317474685803873,0.007834464356858294,-0.05538584066719096,10,10,Lactobacillus melliventris
ESL0350,2,1.8409136910402046,0.011906745935424805,nan,9,10,Lactobacillus melliventris
ESL0350,3,nan,nan,nan,8,10,Lactobacillus melliventris
ESL0350,4,inf,0.06633396180672343,nan,10,10,Lactobacillus melliventris
ESL0350,5,2.723121560178844,-0.0030524217632602662,nan,9,9,Lactobacillus melliventris
ESL0350,6,inf,0.018636602125181482,nan,9,10,Lactobacillus melliventris
ESL0186,1,2.772727774589731,0.055353290135490396,nan,10,10,Lactobacillus kullabergensis
ESL0186,2,nan,nan,nan,10,9,Lactobacillus kullabergensis
ESL0186,3,nan,nan,nan,8,10,Lactobacillus kullabergensis
ESL0186,4,inf,-0.023496080825166382,nan,10,10,Lactobacillus kullabergensis
ESL0186,5,nan,nan,nan,9,9,Lactobacillus kullabergensis
ESL0186,6,inf,-0.024717644028428427,nan,9,10,Lactobacillus kullabergensis
ESL0261,1,3.2168344777839923,0.01990207740205561,nan,10,10,Lactobacillus kullabergensis
ESL0261,2,nan,nan,nan,9,10,Lactobacillus kullabergensis
ESL0261,3,inf,-0.0019234831751306595,nan,10,8,Lactobacillus kullabergensis
ESL0261,4,inf,-0.023550221522186245,nan,10,10,Lactobacillus kullabergensis
ESL0261,5,inf,-0.07434488723372203,nan,9,9,Lactobacillus kullabergensis
ESL0261,6,nan,nan,nan,10,9,Lactobacillus kullabergensis
