ID,Strain,Counts,total_counts,rel_counts,bac_copies,bac_copies_raw,Ct_Mean_bac,Ct_SD_bac,abs_counts_org,limit_passed,Type,Experiment,Plate,CommunityCombo,Treatment,Notes,present,spec_name,spec_name_uniq,Treatment_simp,total_reads,sample_geq,abs_counts,geq_passed,is_low,arrival
2-1,ESL0197,0,8316,0,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Bifidobacterium coryneforme,Bifidobacterium coryneforme (ESL0197),AB-0,8316,50277.8554607969,0,0,No,both
2-1,ESL0294,0,8316,0,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Bombilactobacillus mellis,Bombilactobacillus mellis (ESL0294),AB-0,8316,50277.8554607969,0,0,No,NA
2-1,ESL0394,938,8316,0.112794612794613,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,47160628.4222275,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Lactobacillus melliventris,Lactobacillus melliventris (ESL0394),AB-0,8316,50277.8554607969,47160628.4222275,1,No,both
2-1,ESL0295,0,8316,0,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Bombilactobacillus mellis,Bombilactobacillus mellis (ESL0295),AB-0,8316,50277.8554607969,0,0,No,both
2-1,ESL1028,0,8316,0,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Bombilactobacillus mellifer,Bombilactobacillus mellifer (ESL1028),AB-0,8316,50277.8554607969,0,0,No,both
2-1,ESL0263,4055,8316,0.487614237614238,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,203876703.893532,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Lactobacillus apis,Lactobacillus apis (ESL0263),AB-0,8316,50277.8554607969,203876703.893532,1,No,both
2-1,ESL0185,21,8316,0.00252525252525253,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,1055834.96467674,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Lactobacillus apis,Lactobacillus apis (ESL0185),AB-0,8316,50277.8554607969,1055834.96467674,1,No,both
2-1,ESL0183,178,8316,0.0214045214045214,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,8949458.27202186,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Lactobacillus helsingborgensis,Lactobacillus helsingborgensis (ESL0183),AB-0,8316,50277.8554607969,8949458.27202186,1,No,both
2-1,ESL0835,0,8316,0,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Lactobacillus helsingborgensis,Lactobacillus helsingborgensis (ESL0835),AB-0,8316,50277.8554607969,0,0,No,both
2-1,ESL0354,0,8316,0,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Lactobacillus helsingborgensis,Lactobacillus helsingborgensis (ESL0354),AB-0,8316,50277.8554607969,0,0,No,NA
2-1,ESL0393,0,8316,0,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Bombilactobacillus mellis,Bombilactobacillus mellis (ESL0393),AB-0,8316,50277.8554607969,0,0,No,NA
2-1,ESL0259,0,8316,0,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Lactobacillus melliventris,Lactobacillus melliventris (ESL0259),AB-0,8316,50277.8554607969,0,0,No,NA
2-1,ESL0260,0,8316,0,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Lactobacillus melliventris,Lactobacillus melliventris (ESL0260),AB-0,8316,50277.8554607969,0,0,No,NA
2-1,ESL0184,0,8316,0,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Lactobacillus melliventris,Lactobacillus melliventris (ESL0184),AB-0,8316,50277.8554607969,0,0,No,both
2-1,ESL0350,296,8316,0.0355940355940356,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,14882245.2163959,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Lactobacillus melliventris,Lactobacillus melliventris (ESL0350),AB-0,8316,50277.8554607969,14882245.2163959,1,No,both
2-1,ESL0186,1376,8316,0.165464165464165,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,69182329.1140566,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Lactobacillus kullabergensis,Lactobacillus kullabergensis (ESL0186),AB-0,8316,50277.8554607969,69182329.1140566,1,No,both
2-1,ESL0261,271,8316,0.0325877825877826,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,13625298.829876,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Lactobacillus kullabergensis,Lactobacillus kullabergensis (ESL0261),AB-0,8316,50277.8554607969,13625298.829876,1,No,both
2-1,unknown,2,8316,0.000240500240500241,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,100555.710921594,Yes,bee,pilot,3,pilot,AB-0,pilot,1,NA,NA (unknown),AB-0,8316,50277.8554607969,100555.710921594,1,No,NA
2-13,ESL0825,460,10550,0.0436018957345972,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,22080053.4410547,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Bifidobacterium apousia,Bifidobacterium apousia (ESL0825),AB-0,10550,48000.1161762058,22080053.4410547,1,No,both
2-13,ESL0820,664,10550,0.0629383886255924,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,31872077.1410006,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Bifidobacterium apousia,Bifidobacterium apousia (ESL0820),AB-0,10550,48000.1161762058,31872077.1410006,1,No,both
2-13,ESL0822,175,10550,0.0165876777251185,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,8400020.33083601,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Bifidobacterium asteroides,Bifidobacterium asteroides (ESL0822),AB-0,10550,48000.1161762058,8400020.33083601,1,No,both
2-13,ESL0170,188,10550,0.0178199052132701,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,9024021.84112668,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Bifidobacterium asteroides,Bifidobacterium asteroides (ESL0170),AB-0,10550,48000.1161762058,9024021.84112668,1,No,both
2-13,ESL0824,603,10550,0.0571563981042654,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,28944070.0542521,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Bifidobacterium polysaccharolyticum,Bifidobacterium polysaccharolyticum (ESL0824),AB-0,10550,48000.1161762058,28944070.0542521,1,No,both
2-13,ESL0198,156,10550,0.0147867298578199,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,7488018.1234881,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Bifidobacterium polysaccharolyticum,Bifidobacterium polysaccharolyticum (ESL0198),AB-0,10550,48000.1161762058,7488018.1234881,1,No,both
2-13,ESL0827,268,10550,0.0254028436018957,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,12864031.1352231,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Bifidobacterium sp1.,Bifidobacterium sp1. (ESL0827),AB-0,10550,48000.1161762058,12864031.1352231,1,No,both
2-13,ESL0199,577,10550,0.0546919431279621,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,27696067.0336707,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Bifidobacterium sp1.,Bifidobacterium sp1. (ESL0199),AB-0,10550,48000.1161762058,27696067.0336707,1,No,both
2-13,ESL0200,0,10550,0,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Bifidobacterium sp2.,Bifidobacterium sp2. (ESL0200),AB-0,10550,48000.1161762058,0,0,No,both
2-13,ESL0819,40,10550,0.0037914691943128,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,1920004.64704823,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Bifidobacterium sp2.,Bifidobacterium sp2. (ESL0819),AB-0,10550,48000.1161762058,1920004.64704823,1,No,both
2-13,ESL0197,4,10550,0.00037914691943128,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,192000.464704823,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Bifidobacterium coryneforme,Bifidobacterium coryneforme (ESL0197),AB-0,10550,48000.1161762058,192000.464704823,1,No,both
2-13,ESL0294,0,10550,0,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Bombilactobacillus mellis,Bombilactobacillus mellis (ESL0294),AB-0,10550,48000.1161762058,0,0,No,NA
2-13,ESL0394,814,10550,0.0771563981042654,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,39072094.5674315,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Lactobacillus melliventris,Lactobacillus melliventris (ESL0394),AB-0,10550,48000.1161762058,39072094.5674315,1,No,both
2-13,ESL0295,1406,10550,0.133270142180095,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,67488163.3437453,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Bombilactobacillus mellis,Bombilactobacillus mellis (ESL0295),AB-0,10550,48000.1161762058,67488163.3437453,1,No,both
2-13,ESL1028,0,10550,0,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Bombilactobacillus mellifer,Bombilactobacillus mellifer (ESL1028),AB-0,10550,48000.1161762058,0,0,No,both
2-13,ESL0263,1582,10550,0.149952606635071,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,75936183.7907575,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Lactobacillus apis,Lactobacillus apis (ESL0263),AB-0,10550,48000.1161762058,75936183.7907575,1,No,both
2-13,ESL0185,14,10550,0.00132701421800948,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,672001.626466881,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Lactobacillus apis,Lactobacillus apis (ESL0185),AB-0,10550,48000.1161762058,672001.626466881,1,No,both
2-13,ESL0183,457,10550,0.0433175355450237,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,21936053.092526,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Lactobacillus helsingborgensis,Lactobacillus helsingborgensis (ESL0183),AB-0,10550,48000.1161762058,21936053.092526,1,No,both
2-13,ESL0835,0,10550,0,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Lactobacillus helsingborgensis,Lactobacillus helsingborgensis (ESL0835),AB-0,10550,48000.1161762058,0,0,No,both
2-13,ESL0354,0,10550,0,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Lactobacillus helsingborgensis,Lactobacillus helsingborgensis (ESL0354),AB-0,10550,48000.1161762058,0,0,No,NA
2-13,ESL0393,0,10550,0,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Bombilactobacillus mellis,Bombilactobacillus mellis (ESL0393),AB-0,10550,48000.1161762058,0,0,No,NA
2-13,ESL0259,0,10550,0,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Lactobacillus melliventris,Lactobacillus melliventris (ESL0259),AB-0,10550,48000.1161762058,0,0,No,NA
2-13,ESL0260,0,10550,0,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Lactobacillus melliventris,Lactobacillus melliventris (ESL0260),AB-0,10550,48000.1161762058,0,0,No,NA
2-13,ESL0184,0,10550,0,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Lactobacillus melliventris,Lactobacillus melliventris (ESL0184),AB-0,10550,48000.1161762058,0,0,No,both
2-13,ESL0350,1158,10550,0.109763033175355,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,55584134.5320463,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Lactobacillus melliventris,Lactobacillus melliventris (ESL0350),AB-0,10550,48000.1161762058,55584134.5320463,1,No,both
2-13,ESL0186,1931,10550,0.18303317535545,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,92688224.3362533,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Lactobacillus kullabergensis,Lactobacillus kullabergensis (ESL0186),AB-0,10550,48000.1161762058,92688224.3362533,1,No,both
2-13,ESL0261,48,10550,0.00454976303317536,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,2304005.57645788,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Lactobacillus kullabergensis,Lactobacillus kullabergensis (ESL0261),AB-0,10550,48000.1161762058,2304005.57645788,1,No,both
2-13,unknown,5,10550,0.0004739336492891,506401225.658971,1688004.0855299,15.8089075088501,0.124798342585564,240000.580881029,Yes,bee,pilot,3,pilot,AB-0,pilot,1,NA,NA (unknown),AB-0,10550,48000.1161762058,240000.580881029,1,No,NA
3-1,ESL0825,393,9129,0.0430496220834703,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,37395320.9423183,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Bifidobacterium apousia,Bifidobacterium apousia (ESL0825),AB-0,9129,95153.4884028455,37395320.9423183,1,No,both
3-1,ESL0820,76,9129,0.00832511775659985,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,7231665.11861626,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Bifidobacterium apousia,Bifidobacterium apousia (ESL0820),AB-0,9129,95153.4884028455,7231665.11861626,1,No,both
3-1,ESL0822,59,9129,0.0064629203636762,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,5614055.81576788,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Bifidobacterium asteroides,Bifidobacterium asteroides (ESL0822),AB-0,9129,95153.4884028455,5614055.81576788,1,No,both
3-1,ESL0170,24,9129,0.00262898455471574,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,2283683.72166829,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Bifidobacterium asteroides,Bifidobacterium asteroides (ESL0170),AB-0,9129,95153.4884028455,2283683.72166829,1,No,both
3-1,ESL0824,173,9129,0.018950596998576,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,16461553.4936923,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Bifidobacterium polysaccharolyticum,Bifidobacterium polysaccharolyticum (ESL0824),AB-0,9129,95153.4884028455,16461553.4936923,1,No,both
3-1,ESL0198,111,9129,0.0121590535655603,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,10562037.2127159,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Bifidobacterium polysaccharolyticum,Bifidobacterium polysaccharolyticum (ESL0198),AB-0,9129,95153.4884028455,10562037.2127159,1,No,both
3-1,ESL0827,85,9129,0.00931098696461825,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,8088046.51424187,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Bifidobacterium sp1.,Bifidobacterium sp1. (ESL0827),AB-0,9129,95153.4884028455,8088046.51424187,1,No,both
3-1,ESL0199,90,9129,0.00985869208018403,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,8563813.9562561,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Bifidobacterium sp1.,Bifidobacterium sp1. (ESL0199),AB-0,9129,95153.4884028455,8563813.9562561,1,No,both
3-1,ESL0200,0,9129,0,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,0,Yes,bee,pilot,5,pilot,AB-0,pilot,0,Bifidobacterium sp2.,Bifidobacterium sp2. (ESL0200),AB-0,9129,95153.4884028455,0,0,No,both
3-1,ESL0819,8,9129,0.000876328184905247,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,761227.907222764,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Bifidobacterium sp2.,Bifidobacterium sp2. (ESL0819),AB-0,9129,95153.4884028455,761227.907222764,1,No,both
3-1,ESL0197,9,9129,0.000985869208018403,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,856381.39562561,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Bifidobacterium coryneforme,Bifidobacterium coryneforme (ESL0197),AB-0,9129,95153.4884028455,856381.39562561,1,No,both
3-1,ESL0294,0,9129,0,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,0,Yes,bee,pilot,5,pilot,AB-0,pilot,0,Bombilactobacillus mellis,Bombilactobacillus mellis (ESL0294),AB-0,9129,95153.4884028455,0,0,No,NA
3-1,ESL0394,1465,9129,0.160477598860773,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,139399860.510169,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Lactobacillus melliventris,Lactobacillus melliventris (ESL0394),AB-0,9129,95153.4884028455,139399860.510169,1,No,both
3-1,ESL0295,297,9129,0.0325336838646073,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,28260586.0556451,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Bombilactobacillus mellis,Bombilactobacillus mellis (ESL0295),AB-0,9129,95153.4884028455,28260586.0556451,1,No,both
3-1,ESL1028,0,9129,0,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,0,Yes,bee,pilot,5,pilot,AB-0,pilot,0,Bombilactobacillus mellifer,Bombilactobacillus mellifer (ESL1028),AB-0,9129,95153.4884028455,0,0,No,both
3-1,ESL0263,3304,9129,0.361923540365867,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,314387125.683002,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Lactobacillus apis,Lactobacillus apis (ESL0263),AB-0,9129,95153.4884028455,314387125.683002,1,No,both
3-1,ESL0185,51,9129,0.00558659217877095,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,4852827.90854512,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Lactobacillus apis,Lactobacillus apis (ESL0185),AB-0,9129,95153.4884028455,4852827.90854512,1,No,both
3-1,ESL0183,1111,9129,0.121700076678716,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,105715525.615561,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Lactobacillus helsingborgensis,Lactobacillus helsingborgensis (ESL0183),AB-0,9129,95153.4884028455,105715525.615561,1,No,both
3-1,ESL0835,0,9129,0,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,0,Yes,bee,pilot,5,pilot,AB-0,pilot,0,Lactobacillus helsingborgensis,Lactobacillus helsingborgensis (ESL0835),AB-0,9129,95153.4884028455,0,0,No,both
3-1,ESL0354,0,9129,0,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,0,Yes,bee,pilot,5,pilot,AB-0,pilot,0,Lactobacillus helsingborgensis,Lactobacillus helsingborgensis (ESL0354),AB-0,9129,95153.4884028455,0,0,No,NA
3-1,ESL0393,0,9129,0,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,0,Yes,bee,pilot,5,pilot,AB-0,pilot,0,Bombilactobacillus mellis,Bombilactobacillus mellis (ESL0393),AB-0,9129,95153.4884028455,0,0,No,NA
3-1,ESL0259,0,9129,0,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,0,Yes,bee,pilot,5,pilot,AB-0,pilot,0,Lactobacillus melliventris,Lactobacillus melliventris (ESL0259),AB-0,9129,95153.4884028455,0,0,No,NA
3-1,ESL0260,0,9129,0,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,0,Yes,bee,pilot,5,pilot,AB-0,pilot,0,Lactobacillus melliventris,Lactobacillus melliventris (ESL0260),AB-0,9129,95153.4884028455,0,0,No,NA
3-1,ESL0184,0,9129,0,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,0,Yes,bee,pilot,5,pilot,AB-0,pilot,0,Lactobacillus melliventris,Lactobacillus melliventris (ESL0184),AB-0,9129,95153.4884028455,0,0,No,both
3-1,ESL0350,1035,9129,0.113374958922116,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,98483860.4969451,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Lactobacillus melliventris,Lactobacillus melliventris (ESL0350),AB-0,9129,95153.4884028455,98483860.4969451,1,No,both
3-1,ESL0186,525,9129,0.0575090371344068,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,49955581.4114939,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Lactobacillus kullabergensis,Lactobacillus kullabergensis (ESL0186),AB-0,9129,95153.4884028455,49955581.4114939,1,No,both
3-1,ESL0261,281,9129,0.0307810274947968,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,26738130.2411996,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Lactobacillus kullabergensis,Lactobacillus kullabergensis (ESL0261),AB-0,9129,95153.4884028455,26738130.2411996,1,No,both
3-1,unknown,32,9129,0.00350531273962099,868656195.629577,2895520.65209859,15.0136451721191,0.141166016459465,3044911.62889106,Yes,bee,pilot,5,pilot,AB-0,pilot,1,NA,NA (unknown),AB-0,9129,95153.4884028455,3044911.62889106,1,No,NA
3-13,ESL0825,470,11907,0.0394725791551188,298221679.303324,994072.264344412,16.5892467498779,0.0348337106406689,11771578.8420729,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Bifidobacterium apousia,Bifidobacterium apousia (ESL0825),AB-0,11907,25045.9124299424,11771578.8420729,1,No,both
3-13,ESL0820,750,11907,0.0629881582262535,298221679.303324,994072.264344412,16.5892467498779,0.0348337106406689,18784434.3224568,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Bifidobacterium apousia,Bifidobacterium apousia (ESL0820),AB-0,11907,25045.9124299424,18784434.3224568,1,No,both
3-13,ESL0822,135,11907,0.0113378684807256,298221679.303324,994072.264344412,16.5892467498779,0.0348337106406689,3381198.17804222,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Bifidobacterium asteroides,Bifidobacterium asteroides (ESL0822),AB-0,11907,25045.9124299424,3381198.17804222,1,No,both
3-13,ESL0170,194,11907,0.0162929369278576,298221679.303324,994072.264344412,16.5892467498779,0.0348337106406689,4858907.01140882,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Bifidobacterium asteroides,Bifidobacterium asteroides (ESL0170),AB-0,11907,25045.9124299424,4858907.01140882,1,No,both
3-13,ESL0824,257,11907,0.0215839422188629,298221679.303324,994072.264344412,16.5892467498779,0.0348337106406689,6436799.49449519,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Bifidobacterium polysaccharolyticum,Bifidobacterium polysaccharolyticum (ESL0824),AB-0,11907,25045.9124299424,6436799.49449519,1,No,both
3-13,ESL0198,123,11907,0.0103300579491056,298221679.303324,994072.264344412,16.5892467498779,0.0348337106406689,3080647.22888291,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Bifidobacterium polysaccharolyticum,Bifidobacterium polysaccharolyticum (ESL0198),AB-0,11907,25045.9124299424,3080647.22888291,1,No,both
3-13,ESL0827,280,11907,0.0235155790711346,298221679.303324,994072.264344412,16.5892467498779,0.0348337106406689,7012855.48038386,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Bifidobacterium sp1.,Bifidobacterium sp1. (ESL0827),AB-0,11907,25045.9124299424,7012855.48038386,1,No,both
3-13,ESL0199,109,11907,0.00915427899554884,298221679.303324,994072.264344412,16.5892467498779,0.0348337106406689,2730004.45486372,Yes,bee,pilot,5,pilot,AB-0,pilot,1,Bifidobacterium sp1.,Bifidobacterium sp1. (ESL0199),AB-0,11907,25045.9124299424,2730004.45486372,1,No,both
3-13,ESL0200,0,11907,0,298221679.303324,994072.264344412,16.5892467498779,0.0348337106406689,0,Yes,bee,pilot,5,pilot,AB-0,pilot,0,Bifidobacterium sp2.,Bifidobacterium sp2. (ESL0200),AB-0,11907,25045.9124299424,0,0,No,both
