Strain,CommunityCombo,priority_effect_strength_median,num_samples_first,num_samples_second,spec_name
ESL0819,2,inf,10,9,Bifidobacterium sp2.
ESL0819,3,inf,8,10,Bifidobacterium sp2.
ESL0819,4,inf,10,10,Bifidobacterium sp2.
ESL0819,5,inf,9,9,Bifidobacterium sp2.
ESL0819,6,inf,10,9,Bifidobacterium sp2.
ESL0394,1,0.6794379653332131,10,10,Lactobacillus melliventris
ESL0394,2,1.1960398023764063,9,10,Lactobacillus melliventris
ESL0394,3,1.0827533194743002,8,10,Lactobacillus melliventris
ESL0394,4,2.6030696601726375,10,10,Lactobacillus melliventris
ESL0394,5,1.4151554782482316,9,9,Lactobacillus melliventris
ESL0394,6,2.4149979059210835,9,10,Lactobacillus melliventris
ESL0295,1,-inf,10,10,Bombilactobacillus mellis
ESL0295,2,1.1182294557448231,10,9,Bombilactobacillus mellis
ESL0295,3,2.3738647493773786,10,8,Bombilactobacillus mellis
ESL0295,4,inf,10,10,Bombilactobacillus mellis
ESL0295,5,inf,9,9,Bombilactobacillus mellis
ESL0295,6,inf,10,9,Bombilactobacillus mellis
ESL0263,1,0.2858410811637689,10,10,Lactobacillus apis
ESL0263,2,0.023811389261406916,9,10,Lactobacillus apis
ESL0263,3,0.6923165008518919,10,8,Lactobacillus apis
ESL0263,4,0.11230837288770386,10,10,Lactobacillus apis
ESL0263,5,0.41674565124235136,9,9,Lactobacillus apis
ESL0263,6,0.8122462248545473,9,10,Lactobacillus apis
ESL0185,1,4.285461108747361,10,10,Lactobacillus apis
ESL0185,2,inf,10,9,Lactobacillus apis
ESL0185,3,inf,8,10,Lactobacillus apis
ESL0185,4,inf,10,10,Lactobacillus apis
ESL0185,5,inf,9,9,Lactobacillus apis
ESL0185,6,inf,10,9,Lactobacillus apis
ESL0183,1,inf,10,10,Lactobacillus helsingborgensis
ESL0183,2,inf,10,9,Lactobacillus helsingborgensis
ESL0183,3,inf,8,10,Lactobacillus helsingborgensis
ESL0183,4,inf,10,10,Lactobacillus helsingborgensis
ESL0183,5,inf,9,9,Lactobacillus helsingborgensis
ESL0183,6,inf,9,10,Lactobacillus helsingborgensis
ESL0835,1,inf,10,10,Lactobacillus helsingborgensis
ESL0835,2,inf,9,10,Lactobacillus helsingborgensis
ESL0835,3,inf,10,8,Lactobacillus helsingborgensis
ESL0835,4,inf,10,10,Lactobacillus helsingborgensis
ESL0835,5,inf,9,9,Lactobacillus helsingborgensis
ESL0835,6,inf,10,9,Lactobacillus helsingborgensis
ESL0184,1,nan,10,10,Lactobacillus melliventris
ESL0184,2,nan,10,9,Lactobacillus melliventris
ESL0184,3,nan,10,8,Lactobacillus melliventris
ESL0184,4,inf,10,10,Lactobacillus melliventris
ESL0184,5,nan,9,9,Lactobacillus melliventris
ESL0184,6,inf,10,9,Lactobacillus melliventris
ESL0350,1,1.2321475003037423,10,10,Lactobacillus melliventris
ESL0350,2,1.7181381842197687,9,10,Lactobacillus melliventris
ESL0350,3,0.8175214238153126,8,10,Lactobacillus melliventris
ESL0350,4,inf,10,10,Lactobacillus melliventris
ESL0350,5,2.3994540662275163,9,9,Lactobacillus melliventris
ESL0350,6,3.9356681517025036,9,10,Lactobacillus melliventris
ESL0186,1,2.6441457011508662,10,10,Lactobacillus kullabergensis
ESL0186,2,inf,10,9,Lactobacillus kullabergensis
ESL0186,3,inf,8,10,Lactobacillus kullabergensis
ESL0186,4,inf,10,10,Lactobacillus kullabergensis
ESL0186,5,inf,9,9,Lactobacillus kullabergensis
ESL0186,6,inf,9,10,Lactobacillus kullabergensis
ESL0261,1,3.0983947444604825,10,10,Lactobacillus kullabergensis
ESL0261,2,inf,9,10,Lactobacillus kullabergensis
ESL0261,3,inf,10,8,Lactobacillus kullabergensis
ESL0261,4,inf,10,10,Lactobacillus kullabergensis
ESL0261,5,inf,9,9,Lactobacillus kullabergensis
ESL0261,6,inf,10,9,Lactobacillus kullabergensis
